date,version,count
2026-06-13,ACF,5
2026-06-13,ALM1911,3
2026-06-13,ARA,2
2026-06-13,ARC,2
2026-06-13,AS21,1
2026-06-13,BLIVRE,0
2026-06-13,JFAA,1
2026-06-13,KJA,2
2026-06-13,KJF,3
2026-06-13,MENS,1
2026-06-13,NAA,3
2026-06-13,NBV,0
2026-06-13,NTLH,1
2026-06-13,NVI,4
2026-06-13,NVT,1
2026-06-13,OL,0
2026-06-13,TB,5
2026-06-13,VFL,0
2026-06-14,ACF,12
2026-06-14,ALM1911,5
2026-06-14,ARA,8
2026-06-14,ARC,8
2026-06-14,AS21,3
2026-06-14,BLIVRE,4
2026-06-14,JFAA,2
2026-06-14,KJA,10
2026-06-14,KJF,5
2026-06-14,MENS,3
2026-06-14,NAA,11
2026-06-14,NBV,4
2026-06-14,NTLH,3
2026-06-14,NVI,10
2026-06-14,NVT,7
2026-06-14,OL,3
2026-06-14,TB,8
2026-06-14,VFL,1
2026-06-15,ACF,0
2026-06-15,ALM1911,0
2026-06-15,ARA,0
2026-06-15,ARC,0
2026-06-15,AS21,0
2026-06-15,BLIVRE,0
2026-06-15,JFAA,0
2026-06-15,KJA,0
2026-06-15,KJF,0
2026-06-15,MENS,0
2026-06-15,NAA,0
2026-06-15,NBV,0
2026-06-15,NTLH,0
2026-06-15,NVI,0
2026-06-15,NVT,0
2026-06-15,OL,0
2026-06-15,TB,0
2026-06-15,VFL,0
2026-06-16,ACF,0
2026-06-16,ALM1911,0
2026-06-16,ARA,0
2026-06-16,ARC,0
2026-06-16,AS21,0
2026-06-16,BLIVRE,0
2026-06-16,JFAA,0
2026-06-16,KJA,0
2026-06-16,KJF,0
2026-06-16,MENS,0
2026-06-16,NAA,0
2026-06-16,NBV,0
2026-06-16,NTLH,0
2026-06-16,NVI,0
2026-06-16,NVT,0
2026-06-16,OL,0
2026-06-16,TB,0
2026-06-16,VFL,0
2026-06-17,ACF,0
2026-06-17,ALM1911,0
2026-06-17,ARA,0
2026-06-17,ARC,0
2026-06-17,AS21,0
2026-06-17,BLIVRE,0
2026-06-17,JFAA,0
2026-06-17,KJA,0
2026-06-17,KJF,0
2026-06-17,MENS,0
2026-06-17,NAA,0
2026-06-17,NBV,0
2026-06-17,NTLH,0
2026-06-17,NVI,0
2026-06-17,NVT,0
2026-06-17,OL,0
2026-06-17,TB,0
2026-06-17,VFL,0
2026-06-18,ACF,0
2026-06-18,ALM1911,0
2026-06-18,ARA,0
2026-06-18,ARC,0
2026-06-18,AS21,0
2026-06-18,BLIVRE,0
2026-06-18,JFAA,0
2026-06-18,KJA,0
2026-06-18,KJF,0
2026-06-18,MENS,0
2026-06-18,NAA,0
2026-06-18,NBV,0
2026-06-18,NTLH,0
2026-06-18,NVI,0
2026-06-18,NVT,0
2026-06-18,OL,0
2026-06-18,TB,0
2026-06-18,VFL,0
2026-06-19,ACF,0
2026-06-19,ALM1911,0
2026-06-19,ARA,0
2026-06-19,ARC,0
2026-06-19,AS21,0
2026-06-19,BLIVRE,0
2026-06-19,JFAA,0
2026-06-19,KJA,0
2026-06-19,KJF,0
2026-06-19,MENS,0
2026-06-19,NAA,0
2026-06-19,NBV,0
2026-06-19,NTLH,0
2026-06-19,NVI,0
2026-06-19,NVT,0
2026-06-19,OL,0
2026-06-19,TB,0
2026-06-19,VFL,0
2026-06-20,ACF,0
2026-06-20,ALM1911,0
2026-06-20,ARA,0
2026-06-20,ARC,0
2026-06-20,AS21,0
2026-06-20,BLIVRE,0
2026-06-20,JFAA,0
2026-06-20,KJA,0
2026-06-20,KJF,0
2026-06-20,MENS,0
2026-06-20,NAA,0
2026-06-20,NBV,0
2026-06-20,NTLH,0
2026-06-20,NVI,0
2026-06-20,NVT,0
2026-06-20,OL,0
2026-06-20,TB,0
2026-06-20,VFL,0
2026-06-21,ACF,0
2026-06-21,ALM1911,0
2026-06-21,ARA,0
2026-06-21,ARC,0
2026-06-21,AS21,0
2026-06-21,BLIVRE,0
2026-06-21,JFAA,0
2026-06-21,KJA,0
2026-06-21,KJF,0
2026-06-21,MENS,0
2026-06-21,NAA,0
2026-06-21,NBV,0
2026-06-21,NTLH,0
2026-06-21,NVI,0
2026-06-21,NVT,0
2026-06-21,OL,0
2026-06-21,TB,0
2026-06-21,VFL,0
